Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Price,Pets,Latitude,Longitude,Date,Controlled Access,Fitness Center,Outdoor Space,Residents Lounge,Roof Deck,Storage,Swimming Pool,Air Conditioning,Balcony,Furnished,Hardwood Floor,High Ceilings,In Unit Laundry
55 Water Street,Downtown Vancouver Apartments,"55 Water St, Vancouver, BC V6B 1A1",Vancouver,Massive 1 bedroom unit,1,1.0,970.0,3200,0,49.283797381544346,-123.10550268075978,2024-03-19 04:59:19.228,1,1,0,1,0,1,0,0,0,0,1,0,1
1188 Bidwell,West End Apartments,"1188 Bidwell St, Vancouver, BC V6G 0C6",Vancouver,One bedroom Unit with massive patio,1,1.0,630.0,2995,1,49.2862731461713,-123.14007661525744,2024-03-19 04:59:19.228,0,1,1,1,1,1,0,0,0,1,1,0,1
1188 Bidwell,West End Apartments,"1188 Bidwell St, Vancouver, BC V6G 0C6",Vancouver,Modern One bedroom Unit + Flex space,1,1.0,604.0,3200,1,49.2862731461713,-123.14007661525744,2024-03-19 04:59:19.228,0,1,1,1,1,1,0,0,0,1,1,0,1
5815 Yew Street,Kerrisdale Apartments,"5815 Yew St, Vancouver, BC V6M 3Y6",Vancouver,Vancouver Bachelor,0,1.0,482.0,2642,1,49.23332523855991,-123.15863758314504,2024-03-19 04:59:19.228,0,0,0,0,0,1,0,0,1,0,1,0,0
5815 Yew Street,Kerrisdale Apartments,"5815 Yew St, Vancouver, BC V6M 3Y6",Vancouver,Vancouver 1 Bedroom,1,1.0,655.0,2779,1,49.23332523855991,-123.15863758314504,2024-03-19 04:59:19.228,0,0,0,0,0,1,0,0,1,0,1,0,0
1265 Cardero Street,West End Apartments,"1265 Cardero St, Vancouver, BC V6G 2J2",Vancouver,1 Bedroom,1,1.0,756.0,2714,0,49.28438237968115,-123.14004853285454,2024-03-19 04:59:19.228,0,0,0,0,0,1,0,0,0,0,0,0,0
1265 Cardero Street,West End Apartments,"1265 Cardero St, Vancouver, BC V6G 2J2",Vancouver,2 Bedroom,2,1.0,933.0,3749,0,49.28438237968115,-123.14004853285454,2024-03-19 04:59:19.228,0,0,0,0,0,1,0,0,0,0,0,0,0
1501 Haro Street,West End Apartments,"1501 Haro St, Vancouver, BC V6G 1G4",Vancouver,1 Bedroom,1,1.0,432.0,2613,1,49.28807699426087,-123.132178015981,2024-03-19 04:59:19.228,0,0,0,0,0,1,1,0,1,0,0,0,0
1501 Haro Street,West End Apartments,"1501 Haro St, Vancouver, BC V6G 1G4",Vancouver,2 Bedrooms,2,1.5,860.0,3781,1,49.28807699426087,-123.132178015981,2024-03-19 04:59:19.228,0,0,0,0,0,1,1,0,1,0,0,0,0
Santana,West End Apartments,"1251 Jervis St, Vancouver, BC V6E 2E1",Vancouver,00404,1,1.0,537.0,3300,0,49.28246845610967,-123.13559094573333,2024-03-19 04:59:19.228,0,0,0,0,0,1,0,0,1,1,1,0,1
Santana,West End Apartments,"1251 Jervis St, Vancouver, BC V6E 2E1",Vancouver,01203,1,1.0,541.0,3795,0,49.28246845610967,-123.13559094573333,2024-03-19 04:59:19.228,0,0,0,0,0,1,0,0,1,1,1,0,1
The Max ,Downtown Vancouver Apartments,"928 Beatty St, Vancouver, BC V6Z 3G6",Vancouver,Condos,0,1.0,443.0,2590,1,49.27633375178051,-123.11575160111312,2024-03-19 04:59:19.228,0,1,1,0,0,0,1,1,0,1,1,0,1
The Max ,Downtown Vancouver Apartments,"928 Beatty St, Vancouver, BC V6Z 3G6",Vancouver,Condos,1,1.0,510.0,3000,1,49.27633375178051,-123.11575160111312,2024-03-19 04:59:19.228,0,1,1,0,0,0,1,1,0,1,1,0,1
2040 York,Kitsilano Apartments,"2040 York Ave, Vancouver, BC V6J 1E7",Vancouver,2040 York - Plan A,1,1.0,524.0,2700,1,49.27156561428893,-123.15125856142572,2024-03-19 04:59:19.228,0,0,0,0,0,1,0,0,1,0,1,0,1
2040 York,Kitsilano Apartments,"2040 York Ave, Vancouver, BC V6J 1E7",Vancouver,2040 York - Plan C,1,1.0,625.0,2899,1,49.27156561428893,-123.15125856142572,2024-03-19 04:59:19.228,0,0,0,0,0,1,0,0,1,0,1,0,1
The Mansion,West End Apartments,"1523 Davie St, Vancouver, BC V6G 3A2",Vancouver,Studios,0,1.0,525.0,2350,0,49.28465928664995,-123.13766606532262,2024-03-19 04:59:19.228,0,0,1,1,0,1,0,0,0,0,0,0,0
The Mansion,West End Apartments,"1523 Davie St, Vancouver, BC V6G 3A2",Vancouver,2 Bedrooms,2,2.0,1048.0,4495,0,49.28465928664995,-123.13766606532262,2024-03-19 04:59:19.228,0,0,1,1,0,1,0,0,0,0,0,0,0
The Mansion,West End Apartments,"1523 Davie St, Vancouver, BC V6G 3A2",Vancouver,3 Bedrooms,3,2.0,1020.0,4650,0,49.28465928664995,-123.13766606532262,2024-03-19 04:59:19.228,0,0,1,1,0,1,0,0,0,0,0,0,0
ARIA,Oakridge Apartments,"488 41st Ave W, Vancouver, BC V5Y 2S7",Vancouver,1 Bed/1 Bath + Den + Patio (PET FRIENDLY),1,1.0,588.0,2780,1,49.23337472305793,-123.11522050455984,2024-03-19 04:59:19.228,1,0,1,0,0,1,0,0,1,0,1,0,1
ARIA,Oakridge Apartments,"488 41st Ave W, Vancouver, BC V5Y 2S7",Vancouver,5th Floor 1 Bed + Den + Patio,1,1.0,616.0,2900,1,49.23337472305793,-123.11522050455984,2024-03-19 04:59:19.228,1,0,1,0,0,1,0,0,1,0,1,0,1
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,A2,0,1.0,437.0,2596,1,49.279327408229385,-123.12084038021528,2024-03-19 04:59:19.228,0,1,1,0,0,1,0,0,0,0,0,0,1
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,C5B,1,1.0,550.0,3030,1,49.279327408229385,-123.12084038021528,2024-03-19 04:59:19.228,0,1,1,0,0,1,0,0,0,0,0,0,1
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,C2,1,1.0,573.0,3110,1,49.279327408229385,-123.12084038021528,2024-03-19 04:59:19.228,0,1,1,0,0,1,0,0,0,0,0,0,1
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,C8,1,1.0,625.0,3145,1,49.279327408229385,-123.12084038021528,2024-03-19 04:59:19.228,0,1,1,0,0,1,0,0,0,0,0,0,1
Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,D5,1,1.0,650.0,3221,1,49.279327408229385,-123.12084038021528,2024-03-19 04:59:19.228,0,1,1,0,0,1,0,0,0,0,0,0,1
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,00405,0,1.0,500.0,2500,0,49.26076492409972,-123.13400473849532,2024-03-19 04:59:19.228,0,1,0,0,0,1,1,0,1,0,1,0,1
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,00305,0,1.0,500.0,2500,0,49.26076492409972,-123.13400473849532,2024-03-19 04:59:19.228,0,1,0,0,0,1,1,0,1,0,1,0,1
Skyline,Fairview Apartments,"1305 12th Ave W, Vancouver, BC V6H 1M3",Vancouver,00505,1,1.0,500.0,2500,0,49.26076492409972,-123.13400473849532,2024-03-19 04:59:19.228,0,1,0,0,0,1,1,0,1,0,1,0,1
