,Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Min Price,Max Price,Price,Pets,Controlled Access,Fitness Center,Outdoor Space,Residents Lounge,Roof Deck,Storage,Swimming Pool,Air Conditioning,Balcony,Furnished,Hardwood Floor,High Ceilings,In Unit Laundry,Date,Latitude,Longitude,Url
0,55 Water Street,Downtown Vancouver Apartments,"55 Water St, Vancouver, BC V6B 1A1",Vancouver,Massive 1 bedroom unit,1,1.0,970,3100,3200,3150.0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2024-04-19 04:59:19.228,49.28379738154435,-123.1055026807598,https://www.padmapper.com/buildings/p449020/apartments-at-55-water-st-vancouver-bc-v6b-1a1
1,55 Water Street,Downtown Vancouver Apartments,"55 Water St, Vancouver, BC V6B 1A1",Vancouver,Massive 2 bedroom unit,2,2.0,1997,6595,6595,6595.0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2024-04-19 04:59:19.228,49.28379738154435,-123.1055026807598,https://www.padmapper.com/buildings/p449020/apartments-at-55-water-st-vancouver-bc-v6b-1a1
2,1188 Bidwell,West End Apartments,"1188 Bidwell St, Vancouver, BC V6G 0C6",Vancouver,"Beautiful, bright one bedroom",1,1.0,604,2950,2950,2950.0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,2024-04-19 04:59:19.228,49.2862731461713,-123.1400766152574,https://www.padmapper.com/buildings/p432510/apartments-at-1188-bidwell-st-vancouver-bc-v6g-0c6
3,1188 Bidwell,West End Apartments,"1188 Bidwell St, Vancouver, BC V6G 0C6",Vancouver,One bedroom with breathtaking view,1,1.0,604,3200,3200,3200.0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,2024-04-19 04:59:19.228,49.2862731461713,-123.1400766152574,https://www.padmapper.com/buildings/p432510/apartments-at-1188-bidwell-st-vancouver-bc-v6g-0c6
4,1188 Bidwell,West End Apartments,"1188 Bidwell St, Vancouver, BC V6G 0C6",Vancouver,2 Bedroom 2 bathroom,2,2.0,732,3675,3675,3675.0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,2024-04-19 04:59:19.228,49.2862731461713,-123.1400766152574,https://www.padmapper.com/buildings/p432510/apartments-at-1188-bidwell-st-vancouver-bc-v6g-0c6
5,1188 Bidwell,West End Apartments,"1188 Bidwell St, Vancouver, BC V6G 0C6",Vancouver,Penthouse with beautiful view of English bay !,2,2.0,1164,6400,6400,6400.0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,2024-04-19 04:59:19.228,49.2862731461713,-123.1400766152574,https://www.padmapper.com/buildings/p432510/apartments-at-1188-bidwell-st-vancouver-bc-v6g-0c6
6,Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,A3,0,1.0,438,2718,2718,2718.0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,2024-04-19 04:59:19.228,49.27932740822938,-123.1208403802153,https://www.padmapper.com/buildings/p217942/metropolitan-towers-apartments-at-930-seymour-st-vancouver-bc-v6b-1b4
7,Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,C5B,1,1.0,550,3096,3096,3096.0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,2024-04-19 04:59:19.228,49.27932740822938,-123.1208403802153,https://www.padmapper.com/buildings/p217942/metropolitan-towers-apartments-at-930-seymour-st-vancouver-bc-v6b-1b4
8,Metropolitan Towers,Downtown Vancouver Apartments,"930 Seymour St, Vancouver, BC V6B 1B4",Vancouver,C8,1,1.0,625,3210,3210,3210.0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,2024-04-19 04:59:19.228,49.27932740822938,-123.1208403802153,https://www.padmapper.com/buildings/p217942/metropolitan-towers-apartments-at-930-seymour-st-vancouver-bc-v6b-1b4
9,Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,C3,1,1.0,491,2831,2831,2831.0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,2024-04-19 04:59:19.228,49.27629015994012,-123.1160766210869,https://www.padmapper.com/buildings/p214592/yaletown-939-apartments-at-939-beatty-st-vancouver-bc-v6z-3c1
10,Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,C5,1,1.0,521,2843,2843,2843.0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,2024-04-19 04:59:19.228,49.27629015994012,-123.1160766210869,https://www.padmapper.com/buildings/p214592/yaletown-939-apartments-at-939-beatty-st-vancouver-bc-v6z-3c1
11,Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,C4,1,1.0,525,2943,2943,2943.0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,2024-04-19 04:59:19.228,49.27629015994012,-123.1160766210869,https://www.padmapper.com/buildings/p214592/yaletown-939-apartments-at-939-beatty-st-vancouver-bc-v6z-3c1
12,Yaletown 939,Downtown Vancouver Apartments,"939 Beatty St, Vancouver, BC V6Z 3C1",Vancouver,I1,2,2.0,733,3838,3838,3838.0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,2024-04-19 04:59:19.228,49.27629015994012,-123.1160766210869,https://www.padmapper.com/buildings/p214592/yaletown-939-apartments-at-939-beatty-st-vancouver-bc-v6z-3c1
13,Zephyr,West End Apartments,"1661 Davie St, Vancouver, BC V6G 1W1",Vancouver,Studio,0,1.0,500,2750,2750,2750.0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,2024-04-19 04:59:19.228,49.2859436857437,-123.1396312426963,https://www.padmapper.com/buildings/p220470/zephyr-apartments-at-1661-davie-st-vancouver-bc-v6g-1w1
