Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Pets,Price,Latitude,Longitude,Date,Url,Controlled Access,Fitness Center,Outdoor Space,Residents Lounge,Roof Deck,Storage,Swimming Pool,Air Conditioning,Balcony,Furnished,Hardwood Floor,High Ceilings,In Unit Laundry
55 Water Street,Downtown Vancouver Apartments,"55 Water St, Vancouver, BC V6B 1A1",Vancouver,Massive 1 bedroom unit,1,1.0,970.0,0,3200,49.283797381544346,-123.10550268075978,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p449020/apartments-at-55-water-st-vancouver-bc-v6b-1a1,1,1,0,1,0,1,0,0,0,0,1,0,1
55 Water Street,Downtown Vancouver Apartments,"55 Water St, Vancouver, BC V6B 1A1",Vancouver,Big 1 bedroom + Den,1,1.0,960.0,0,3400,49.283797381544346,-123.10550268075978,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p449020/apartments-at-55-water-st-vancouver-bc-v6b-1a1,1,1,0,1,0,1,0,0,0,0,1,0,1
1188 Bidwell,West End Apartments,"1188 Bidwell St, Vancouver, BC V6G 0C6",Vancouver,One Bedroom with Flex,1,1.0,601.0,1,3200,49.2862731461713,-123.14007661525744,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p432510/apartments-at-1188-bidwell-st-vancouver-bc-v6g-0c6,0,1,1,1,1,1,0,0,0,1,1,0,1
1188 Bidwell,West End Apartments,"1188 Bidwell St, Vancouver, BC V6G 0C6",Vancouver,One bedroom FURNISHED,1,1.0,604.0,1,3500,49.2862731461713,-123.14007661525744,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p432510/apartments-at-1188-bidwell-st-vancouver-bc-v6g-0c6,0,1,1,1,1,1,0,0,0,1,1,0,1
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 505 - 1BR + 1BA + Balcony,0,1.0,440.0,1,2695,49.28769494521273,-123.14047012854596,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p431969/apartments-at-1770-pendrell-st-vancouver-bc-v6g-0c5,0,1,1,0,0,1,0,1,1,0,0,0,1
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 1903 - 1BR + 1BA + Balcony,1,1.0,650.0,1,3300,49.28769494521273,-123.14047012854596,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p431969/apartments-at-1770-pendrell-st-vancouver-bc-v6g-0c5,0,1,1,0,0,1,0,1,1,0,0,0,1
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 101 - 2BR + 2BA + Balcony,2,2.0,820.0,1,4125,49.28769494521273,-123.14047012854596,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p431969/apartments-at-1770-pendrell-st-vancouver-bc-v6g-0c5,0,1,1,0,0,1,0,1,1,0,0,0,1
Zephyr,West End Apartments,"1661 Davie St, Vancouver, BC V6G 1W1",Vancouver,Studio,0,1.0,500.0,1,2750,49.2859436857437,-123.13963124269634,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220470/zephyr-apartments-at-1661-davie-st-vancouver-bc-v6g-1w1,0,1,1,1,0,1,0,1,1,0,0,0,1
Zephyr,West End Apartments,"1661 Davie St, Vancouver, BC V6G 1W1",Vancouver,1 Bedroom,1,1.0,550.0,1,2995,49.2859436857437,-123.13963124269634,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220470/zephyr-apartments-at-1661-davie-st-vancouver-bc-v6g-1w1,0,1,1,1,0,1,0,1,1,0,0,0,1
Zephyr,West End Apartments,"1661 Davie St, Vancouver, BC V6G 1W1",Vancouver,2 Bedroom,2,2.0,918.0,1,4495,49.2859436857437,-123.13963124269634,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220470/zephyr-apartments-at-1661-davie-st-vancouver-bc-v6g-1w1,0,1,1,1,0,1,0,1,1,0,0,0,1
