Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Price,Unit Amenities,Building Amenities,Pets,Latitude,Longitude,Date
1188 Bidwell,West End Apartments,"1188 Bidwell St, Vancouver, BC V6G 0C6",Vancouver,Modern Junior 1-Bedroom,1 Bedrooms,1 Bathroom,474 SQFT,"$2,750","Assigned Parking, Central Heat, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Wheelchair Accessible",Dogs & Cats,49.2862731461713,-123.14007661525744,2024-01-05 18:57:07.355
1188 Bidwell,West End Apartments,"1188 Bidwell St, Vancouver, BC V6G 0C6",Vancouver,One bedroom,1 Bedrooms,1 Bathroom,602 SQFT,"$2,850—$3,050","Assigned Parking, Central Heat, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Wheelchair Accessible",Dogs & Cats,49.2862731461713,-123.14007661525744,2024-01-05 18:57:07.355
1188 Bidwell,West End Apartments,"1188 Bidwell St, Vancouver, BC V6G 0C6",Vancouver,PENTHOUSE,2 Bedrooms,2 Bathrooms,"1,164 SQFT","$5,995","Assigned Parking, Central Heat, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Residents Lounge, Wheelchair Accessible",Dogs & Cats,49.2862731461713,-123.14007661525744,2024-01-05 18:57:07.355
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 505 - 1BR + 1BA + Balcony,Studios,1 Bathroom,440 SQFT,"$2,695","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage",Dogs & Cats,49.28769494521273,-123.14047012854596,2024-01-05 18:57:07.355
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 1903 - 1BR + 1BA + Balcony,1 Bedrooms,1 Bathroom,650 SQFT,"$3,300","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage",Dogs & Cats,49.28769494521273,-123.14047012854596,2024-01-05 18:57:07.355
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 101 - 2BR + 2BA + Balcony,2 Bedrooms,2 Bathrooms,820 SQFT,"$4,125","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage",Dogs & Cats,49.28769494521273,-123.14047012854596,2024-01-05 18:57:07.355
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 1605 - 3BR + 2BA + Flex + Balcony,3 Bedrooms,2 Bathrooms,990 SQFT,"$4,995","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage",Dogs & Cats,49.28769494521273,-123.14047012854596,2024-01-05 18:57:07.355
Zephyr,West End Apartments,"1661 Davie St, Vancouver, BC V6G 1W1",Vancouver,Studio,Studios,1 Bathroom,500 SQFT,"$2,750","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,49.2859436857437,-123.13963124269634,2024-01-05 18:57:07.355
Zephyr,West End Apartments,"1661 Davie St, Vancouver, BC V6G 1W1",Vancouver,1 Bedroom,1 Bedrooms,1 Bathroom,550 SQFT,"$2,995","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,49.2859436857437,-123.13963124269634,2024-01-05 18:57:07.355
Zephyr,West End Apartments,"1661 Davie St, Vancouver, BC V6G 1W1",Vancouver,2 Bedroom,2 Bedrooms,2 Bathrooms,918 SQFT,"$4,495","Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,49.2859436857437,-123.13963124269634,2024-01-05 18:57:07.355
