Building,Neighbourhood,Address,City,Listing,Bed,Bath,SqFt,Unit Amenities,Building Amenities,Pets,Price,Latitude,Longitude,Date,Url
55 Water Street,Downtown Vancouver Apartments,"55 Water St, Vancouver, BC V6B 1A1",Vancouver,Massive 1 bedroom unit,1 Bedrooms,1 Bathroom,970 SQFT,"Assigned Parking, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Residents Lounge, Storage, Wheelchair Accessible",No pets,"$3,200",49.283797381544346,-123.10550268075978,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p449020/apartments-at-55-water-st-vancouver-bc-v6b-1a1
55 Water Street,Downtown Vancouver Apartments,"55 Water St, Vancouver, BC V6B 1A1",Vancouver,Big 1 bedroom + Den,1 Bedrooms,1 Bathroom,960 SQFT,"Assigned Parking, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Residents Lounge, Storage, Wheelchair Accessible",No pets,"$3,400",49.283797381544346,-123.10550268075978,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p449020/apartments-at-55-water-st-vancouver-bc-v6b-1a1
55 Water Street,Downtown Vancouver Apartments,"55 Water St, Vancouver, BC V6B 1A1",Vancouver,Massive 2 bedroom LIVE/WORK unit,2 Bedrooms,2 Bathrooms,"1,997 SQFT","Assigned Parking, Central Heat, Dishwasher, Hardwood Floor, In Unit Laundry, On Site Laundry","Controlled Access, Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Residents Lounge, Storage, Wheelchair Accessible",No pets,"$6,000",49.283797381544346,-123.10550268075978,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p449020/apartments-at-55-water-st-vancouver-bc-v6b-1a1
1188 Bidwell,West End Apartments,"1188 Bidwell St, Vancouver, BC V6G 0C6",Vancouver,One Bedroom with Flex,1 Bedrooms,1 Bathroom,601 SQFT,"Assigned Parking, Central Heat, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Storage, Wheelchair Accessible",Dogs & Cats,"$3,200",49.2862731461713,-123.14007661525744,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p432510/apartments-at-1188-bidwell-st-vancouver-bc-v6g-0c6
1188 Bidwell,West End Apartments,"1188 Bidwell St, Vancouver, BC V6G 0C6",Vancouver,One bedroom FURNISHED,1 Bedrooms,1 Bathroom,604 SQFT,"Assigned Parking, Central Heat, Dishwasher, Furnished, Hardwood Floor, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Outdoor Space, Residents Lounge, Roof Deck, Storage, Wheelchair Accessible",Dogs & Cats,"$3,500",49.2862731461713,-123.14007661525744,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p432510/apartments-at-1188-bidwell-st-vancouver-bc-v6g-0c6
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 505 - 1BR + 1BA + Balcony,Studios,1 Bathroom,440 SQFT,"Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage",Dogs & Cats,"$2,695",49.28769494521273,-123.14047012854596,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p431969/apartments-at-1770-pendrell-st-vancouver-bc-v6g-0c5
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 1903 - 1BR + 1BA + Balcony,1 Bedrooms,1 Bathroom,650 SQFT,"Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage",Dogs & Cats,"$3,300",49.28769494521273,-123.14047012854596,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p431969/apartments-at-1770-pendrell-st-vancouver-bc-v6g-0c5
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 101 - 2BR + 2BA + Balcony,2 Bedrooms,2 Bathrooms,820 SQFT,"Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage",Dogs & Cats,"$4,125",49.28769494521273,-123.14047012854596,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p431969/apartments-at-1770-pendrell-st-vancouver-bc-v6g-0c5
1770 Pendrell by Westbank,West End Apartments,"1770 Pendrell St, Vancouver, BC V6G 0C5",Vancouver,Unit 2106 - 2BR + 2BR + Flex +  Balcony,2 Bedrooms,2 Bathrooms,,"Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Storage",Dogs & Cats,"$4,395",49.28769494521273,-123.14047012854596,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p431969/apartments-at-1770-pendrell-st-vancouver-bc-v6g-0c5
Zephyr,West End Apartments,"1661 Davie St, Vancouver, BC V6G 1W1",Vancouver,Studio,Studios,1 Bathroom,500 SQFT,"Air Conditioning, Assigned Parking, Balcony, Dishwasher, In Unit Laundry, On Site Laundry","Elevator, Fitness Center, Garage Parking, On Site Laundry, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",Dogs & Cats,"$2,750",49.2859436857437,-123.13963124269634,2024-05-07 00:32:23.774,https://www.padmapper.com/buildings/p220470/zephyr-apartments-at-1661-davie-st-vancouver-bc-v6g-1w1
