Building,Address,Listing,Bed,Bath,SqFt,Price,Unit Amenities,Building Amenities,Pets,Latitude,Longitude
20 Samuel Wood Way,"20 Samuel Wood Way, Toronto, ON M9B 0C8",Studio,Studios,1 Bathroom,370 SQFT,"$2,225","Assigned Parking, Central Heat","Controlled Access, Elevator, Fitness Center, Garage Parking, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",No pets,43.6959,-79.552
20 Samuel Wood Way,"20 Samuel Wood Way, Toronto, ON M9B 0C8",1 Bedroom,1 Bedrooms,1 Bathroom,540 SQFT,"$2,625","Assigned Parking, Central Heat","Controlled Access, Elevator, Fitness Center, Garage Parking, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",No pets,43.6959,-79.552
The Brixton,"410 Dufferin St, Toronto, ON M6K 0H1",0 Bedroom 1 Bathroom,Studios,1 Bathroom,471 SQFT,"$2,254","In Unit Laundry, Walk In Closets","Concierge Service, Controlled Access, Fitness Center, Onsite Management, Package Service, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,43.64386307349232,-79.42933333641923
The Brixton,"410 Dufferin St, Toronto, ON M6K 0H1",1 Bedroom 1 Bathroom,1 Bedrooms,1 Bathroom,513 SQFT,"$2,375","In Unit Laundry, Walk In Closets","Concierge Service, Controlled Access, Fitness Center, Onsite Management, Package Service, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,43.64386307349232,-79.42933333641923
The Brixton,"410 Dufferin St, Toronto, ON M6K 0H1",1 Bedroom 1 Bathroom,1 Bedrooms,1 Bathroom,526 SQFT,"$2,410","In Unit Laundry, Walk In Closets","Concierge Service, Controlled Access, Fitness Center, Onsite Management, Package Service, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,43.64386307349232,-79.42933333641923
The Brixton,"410 Dufferin St, Toronto, ON M6K 0H1",1 Bedroom 1 Bathroom,1 Bedrooms,1 Bathroom,485 SQFT,"$2,415","In Unit Laundry, Walk In Closets","Concierge Service, Controlled Access, Fitness Center, Onsite Management, Package Service, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,43.64386307349232,-79.42933333641923
The Brixton,"410 Dufferin St, Toronto, ON M6K 0H1",1 Bedroom 1 Bathroom,1 Bedrooms,1 Bathroom,561 SQFT,"$2,425","In Unit Laundry, Walk In Closets","Concierge Service, Controlled Access, Fitness Center, Onsite Management, Package Service, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,43.64386307349232,-79.42933333641923
The Brixton,"410 Dufferin St, Toronto, ON M6K 0H1",1 Bedroom 1 Bathroom,1 Bedrooms,1 Bathroom,612 SQFT,"$2,445","In Unit Laundry, Walk In Closets","Concierge Service, Controlled Access, Fitness Center, Onsite Management, Package Service, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,43.64386307349232,-79.42933333641923
The Brixton,"410 Dufferin St, Toronto, ON M6K 0H1",1 Bedroom 1 Bathroom,1 Bedrooms,1 Bathroom,465 SQFT,"$2,465","In Unit Laundry, Walk In Closets","Concierge Service, Controlled Access, Fitness Center, Onsite Management, Package Service, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,43.64386307349232,-79.42933333641923
The Brixton,"410 Dufferin St, Toronto, ON M6K 0H1",1 Bedroom 1 Bathroom,1 Bedrooms,1 Bathroom,597 SQFT,"$2,475","In Unit Laundry, Walk In Closets","Concierge Service, Controlled Access, Fitness Center, Onsite Management, Package Service, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,43.64386307349232,-79.42933333641923
