Building,Address,Listing,Bed,Bath,SqFt,Price,Unit Amenities,Building Amenities,Pets,Latitude,Longitude,City
20 Samuel Wood Way,"20 Samuel Wood Way, Toronto, ON M9B 0C8",Studio,Studios,1 Bathroom,370 SQFT,"$2,225","Assigned Parking, Central Heat","Controlled Access, Elevator, Fitness Center, Garage Parking, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",No pets,43.63526,-79.53992,Toronto
20 Samuel Wood Way,"20 Samuel Wood Way, Toronto, ON M9B 0C8",1 Bedroom,1 Bedrooms,1 Bathroom,540 SQFT,"$2,625","Assigned Parking, Central Heat","Controlled Access, Elevator, Fitness Center, Garage Parking, Onsite Management, Outdoor Space, Residents Lounge, Storage, Wheelchair Accessible",No pets,43.63526,-79.53992,Toronto
Liberty House,"15 Solidarity Way, Toronto, ON M6K 0G8",0 Bedroom 1 Bathroom,Studios,1 Bathroom,328 SQFT,"$2,196","In Unit Laundry, Walk In Closets","Concierge Service, Controlled Access, Fitness Center, Onsite Management, Package Service, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,43.63890487721382,-79.41122477808895,Toronto
Liberty House,"15 Solidarity Way, Toronto, ON M6K 0G8",0 Bedroom 1 Bathroom,Studios,1 Bathroom,344 SQFT,"$2,370","In Unit Laundry, Walk In Closets","Concierge Service, Controlled Access, Fitness Center, Onsite Management, Package Service, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,43.63890487721382,-79.41122477808895,Toronto
Liberty House,"15 Solidarity Way, Toronto, ON M6K 0G8",1 Bedroom 1 Bathroom,1 Bedrooms,1 Bathroom,503 SQFT,"$2,402","In Unit Laundry, Walk In Closets","Concierge Service, Controlled Access, Fitness Center, Onsite Management, Package Service, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,43.63890487721382,-79.41122477808895,Toronto
Liberty House,"15 Solidarity Way, Toronto, ON M6K 0G8",1 Bedroom 1 Bathroom,1 Bedrooms,1 Bathroom,563 SQFT,"$2,460","In Unit Laundry, Walk In Closets","Concierge Service, Controlled Access, Fitness Center, Onsite Management, Package Service, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,43.63890487721382,-79.41122477808895,Toronto
Liberty House,"15 Solidarity Way, Toronto, ON M6K 0G8",1 Bedroom 1 Bathroom,1 Bedrooms,1 Bathroom,569 SQFT,"$2,539","In Unit Laundry, Walk In Closets","Concierge Service, Controlled Access, Fitness Center, Onsite Management, Package Service, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,43.63890487721382,-79.41122477808895,Toronto
Liberty House,"15 Solidarity Way, Toronto, ON M6K 0G8",1 Bedroom 1 Bathroom,1 Bedrooms,1 Bathroom,536 SQFT,"$2,546","In Unit Laundry, Walk In Closets","Concierge Service, Controlled Access, Fitness Center, Onsite Management, Package Service, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,43.63890487721382,-79.41122477808895,Toronto
Liberty House,"15 Solidarity Way, Toronto, ON M6K 0G8",1 Bedroom 1 Bathroom,1 Bedrooms,1 Bathroom,580 SQFT,"$2,565","In Unit Laundry, Walk In Closets","Concierge Service, Controlled Access, Fitness Center, Onsite Management, Package Service, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,43.63890487721382,-79.41122477808895,Toronto
Liberty House,"15 Solidarity Way, Toronto, ON M6K 0G8",1 Bedroom 1 Bathroom,1 Bedrooms,1 Bathroom,596 SQFT,"$2,607","In Unit Laundry, Walk In Closets","Concierge Service, Controlled Access, Fitness Center, Onsite Management, Package Service, Residents Lounge, Storage, Swimming Pool",Dogs & Cats,43.63890487721382,-79.41122477808895,Toronto
